face_id,timestamp,r,g,b
23,1781860208.706593,122.42752333,107.39703333,74.28179877
23,1781860208.784137,123.91052532,108.64981104,75.02673847
23,1781860208.836368,131.70702297,112.33319154,81.87361559
23,1781860208.897726,135.11972254,116.44944607,85.15671151
23,1781860208.963301,136.23668640,117.96879425,86.85380390
23,1781860209.018487,133.34792680,118.49213259,84.06817887
23,1781860209.104776,137.66491885,120.01582989,84.68649369
23,1781860209.158150,137.53964693,118.87644137,83.71073547
23,1781860209.251233,135.54482206,116.63492186,80.82314758
23,1781860209.312587,133.29739736,114.42473517,80.12412582
23,1781860209.362341,133.27840110,114.75724164,80.69753570
23,1781860209.417463,133.98237247,115.19708009,82.23345375
23,1781860209.497655,135.79255386,117.46434061,84.15508500
23,1781860209.562279,133.88089366,114.91351713,80.06702342
23,1781860209.635207,130.94167561,111.83442412,78.16463097
23,1781860209.713226,131.50443172,112.52729826,77.29961404
23,1781860209.786695,134.42440867,114.58632230,79.08207634
23,1781860209.836172,127.21761181,110.67225613,77.81170934
23,1781860209.897516,130.20584221,110.56496020,80.11608694
23,1781860209.959593,127.17957285,110.50290939,77.01147846
23,1781860210.029683,129.26948170,112.25058527,81.74040657
23,1781860210.099482,131.57838028,114.30256525,83.85226317
23,1781860210.163793,132.58437586,115.12649180,84.15823861
23,1781860210.251768,132.58317402,115.40198957,84.56640213
23,1781860210.303442,132.51226609,115.75441967,84.29675010
23,1781860210.361459,133.66748247,115.87984574,85.49782574
23,1781860210.425125,136.55405309,116.30242537,84.50470145
23,1781860210.510960,137.81592559,117.79656939,86.09625485
23,1781860210.559487,139.37789442,119.06125709,87.58925258
23,1781860210.614799,139.31697875,118.88197965,87.65559312
23,1781860210.721664,137.05081464,119.93842468,84.74437398
23,1781860210.805178,139.56963569,120.13045874,88.93161679
23,1781860210.850146,141.61810872,119.93973315,93.12347582
23,1781860210.908926,138.09993062,120.23651657,91.39390250
23,1781860210.966666,138.14397350,120.41923973,91.23994794
23,1781860211.026860,137.02676557,119.88660127,90.49139306
23,1781860211.102024,136.58326391,118.80489382,90.41603166
23,1781860211.163468,132.94404743,117.87922924,86.29124001
23,1781860211.257914,132.63454660,117.43679405,85.61927394
23,1781860211.318520,132.96972059,117.51882142,85.99336972
23,1781860211.389528,133.77542520,118.93355049,86.85006952
23,1781860211.429610,134.98003673,117.05910249,92.15487069
23,1781860211.507433,132.89593908,115.62372744,87.41838589
23,1781860211.563396,132.92873594,115.71280254,91.13118492
23,1781860211.626165,132.65028464,115.57379765,87.82446223
23,1781860211.696336,132.54141952,115.27385855,90.22548902
23,1781860211.785095,134.13025681,116.58913474,91.71802642
23,1781860211.829362,135.37582129,117.74625381,92.33518488
23,1781860211.908478,134.12543889,116.08159058,91.06310355
23,1781860211.976401,135.29740426,117.74657375,92.43763405
23,1781860212.030592,133.13056048,118.09330334,89.43083002
23,1781860212.094572,134.48475252,119.78790868,90.78123750
23,1781860212.153038,134.86016317,120.24200055,92.22790926
23,1781860212.235929,137.29976568,120.37186793,91.11119843
23,1781860212.307515,138.11332459,121.72419166,96.72889655
23,1781860212.376414,139.18319521,122.70537961,93.20010732
23,1781860212.429572,137.43078693,120.56737626,91.41887891
23,1781860212.490362,136.27932789,118.62288140,88.83256887
23,1781860212.548083,136.82397018,118.82172521,89.32605846
23,1781860212.615027,115.68992000,94.93801687,61.71200308
23,1781860212.704114,152.30608507,134.05009552,103.53382564
23,1781860212.788983,140.77433930,122.68406398,96.62715536
23,1781860212.838781,135.63527305,119.80753534,89.84570094
23,1781860212.898866,140.28144095,122.41206509,96.41467465
23,1781860212.966382,139.34447134,121.07846766,95.83328828
23,1781860213.021384,112.50186224,97.49110995,80.31072004
23,1781860213.103463,98.57138060,86.96954937,65.54986102
23,1781860213.157885,86.67912401,72.36163312,53.35436569
23,1781860213.245675,78.19372632,64.13675463,49.76487235
23,1781860213.296629,81.65306523,68.24185252,52.77562279
23,1781860213.343700,85.03772291,70.54502991,54.60840843
23,1781860213.419905,89.16582386,78.09389753,59.37848750
23,1781860213.500904,99.25122861,84.62922442,67.62767039
23,1781860213.559807,101.32468409,89.67464270,69.60308641
23,1781860213.621476,108.22368251,95.32934981,76.13538049
23,1781860213.712315,139.91492257,128.44017501,108.53712169
