face_id,timestamp,cleaned_r,cleaned_g,cleaned_b,cleaned_rppg
6,1781860047.655894,1.60835902,1.52032360,1.38785425,0.11464717
6,1781860047.717559,1.93159473,1.69047635,1.41326082,0.09313686
6,1781860047.773706,1.64398898,1.33259695,0.90514312,0.29945944
6,1781860047.875187,0.86442587,0.72447154,0.23875805,0.89211817
6,1781860047.937949,0.39917270,0.47536152,0.26765341,0.73250299
6,1781860048.011910,0.47998788,0.63183447,0.87511238,-0.23590854
6,1781860048.057545,0.41829580,0.62951567,1.02870250,-0.48498714
6,1781860048.108105,-0.18482523,0.17327104,0.38685236,0.37287344
6,1781860048.179764,-0.81749179,-0.39553663,-0.32234851,0.89987903
6,1781860048.271211,-1.00951206,-0.73589362,-0.64743970,0.47775634
6,1781860048.299778,-1.09155901,-1.01665238,-1.04624726,0.26963191
6,1781860048.387520,-1.46721804,-1.49194094,-1.84859917,0.85645029
6,1781860048.471525,-1.77852853,-1.92447047,-2.46252054,1.01170648
6,1781860048.513861,-1.54313248,-1.91865328,-2.21891987,-0.19416883
6,1781860048.581781,-1.12542545,-1.62372894,-1.48886342,-1.63368512
6,1781860048.671837,-1.06351718,-1.39277985,-1.10777317,-1.58492070
6,1781860048.729201,-0.76892120,-0.81751971,-0.82564871,-0.10441834
6,1781860048.771959,0.74336384,0.82619324,0.50740253,1.03624909
6,1781860048.836000,2.89226426,2.98624231,2.86091450,0.56584688
6,1781860048.924438,3.87053379,3.99988963,4.45610722,-0.84335959
6,1781860048.986521,3.09295699,3.24252538,4.00518222,-1.58187381
6,1781860049.072152,1.71733873,1.77411829,2.24904869,-1.07890116
6,1781860049.128978,0.62505006,0.55212906,0.53739444,-0.15013091
6,1781860049.174564,-0.43965778,-0.53648874,-0.79265906,0.41112301
6,1781860049.232671,-1.55162953,-1.57657106,-1.85696318,0.65910652
6,1781860049.294933,-2.04398936,-2.00625700,-2.29849744,0.85138667
6,1781860049.381518,-1.65850494,-1.55671967,-1.83163811,0.97196043
6,1781860049.468005,-1.04933544,-0.79416420,-0.93192182,1.01382415
6,1781860049.530416,-0.73088122,-0.33512361,-0.27580082,0.86805981
6,1781860049.570981,-0.42565786,-0.16847997,0.02814584,0.15623479
6,1781860049.633986,0.14763836,-0.00147004,0.19978967,-0.90401005
6,1781860049.696545,0.60012061,0.19946362,0.22183772,-1.09149306
6,1781860049.778362,0.48527620,0.25934102,-0.03146506,0.16737809
6,1781860049.862837,0.03995917,0.11198263,-0.37623668,1.44552284
6,1781860049.954498,-0.18739793,-0.12005710,-0.46403899,1.06128347
6,1781860050.015225,-0.09240955,-0.23790351,-0.25557949,-0.32979236
6,1781860050.076634,0.03720847,-0.10893720,-0.00982080,-0.63281838
6,1781860050.140208,0.09285250,0.19021773,0.15907965,0.33156065
6,1781860050.200692,0.23950602,0.40918028,0.36703833,0.54652234
6,1781860050.261408,0.50926956,0.41760490,0.61381547,-0.74276769
6,1781860050.322933,0.66854776,0.35718928,0.72396422,-1.74970104
6,1781860050.387672,0.54944022,0.37326498,0.64413800,-1.15346150
6,1781860050.479951,0.25203846,0.35916941,0.48248902,-0.04176954
6,1781860050.544361,-0.04310187,0.15869592,0.29406743,0.17139124
6,1781860050.604661,-0.23637616,-0.11414005,0.07675102,-0.17714161
6,1781860050.664687,-0.25474744,-0.19551098,-0.11636136,-0.05137937
6,1781860050.726784,-0.09336090,-0.05140662,-0.24993657,0.62049073
6,1781860050.789358,0.05672646,0.08862875,-0.36542739,1.25385646
6,1781860050.850528,0.00115835,0.06162923,-0.42997788,1.42445629
6,1781860050.950511,-0.12098069,-0.06218345,-0.30376189,0.77502100
6,1781860051.010223,-0.04367971,-0.14928134,-0.01897581,-0.60868109
6,1781860051.058822,0.06899535,-0.17437154,0.10664825,-1.35300797
6,1781860051.118588,-0.21391005,-0.18424749,-0.13370529,-0.05387306
